AGE, GENDER, NAME
OLD, MALE, Aesop
MIDDLEAGED, FEMALE, Cleopatra
YOUNG, MALE, Alexander
MIDDLEAGED, FEMALE, Sappho
OLD, MALE, Socrates
YOUNG, MALE, Julius
MIDDLEAGED, MALE, Herodotus
OLD, FEMALE, Hecuba
MIDDLEAGED, MALE, Plato
YOUNG, MALE, Hector
MIDDLEAGED, FEMALE, Antigone
YOUNG, MALE, Achilles
OLD, FEMALE, Eurydice
YOUNG, FEMALE, Artemisia
MIDDLEAGED, MALE, Pythagoras
OLD, FEMALE, Dido
YOUNG, MALE, Romulus
MIDDLEAGED, FEMALE, Livia
OLD, MALE, Homer
MIDDLEAGED, FEMALE, Agrippina
YOUNG, MALE, Perseus
MIDDLEAGED, MALE, Thucydides
OLD, FEMALE, Theano
YOUNG, MALE, Theseus
MIDDLEAGED, FEMALE, Julia
OLD, MALE, Diogenes
MIDDLEAGED, MALE, Seneca
YOUNG, FEMALE, Zenobia
OLD, FEMALE, Penelope
YOUNG, MALE, Odysseus
MIDDLEAGED, MALE, Archimedes
YOUNG, FEMALE, Hypatia
MIDDLEAGED, MALE, Aristophanes
OLD, FEMALE, Lysistrata
YOUNG, MALE, Tiberius
MIDDLEAGED, FEMALE, Agrippina
OLD, MALE, Aristotle
MIDDLEAGED, FEMALE, Theodora
YOUNG, MALE, Heracles
OLD, FEMALE, Circe
MIDDLEAGED, MALE, Marcus
YOUNG, FEMALE, Medea
MIDDLEAGED, MALE, Ptolemy
OLD, MALE, Pliny
YOUNG, MALE, Aeneas
MIDDLEAGED, FEMALE, Cornelia
YOUNG, MALE, Leonidas
MIDDLEAGED, MALE, Cicero
OLD, FEMALE, Hilda
MIDDLEAGED, MALE, Vespasian
YOUNG, FEMALE, Antonia
OLD, MALE, Augustus
MIDDLEAGED, FEMALE, Perpetua
YOUNG, MALE, Gaius
OLD, FEMALE, Lucretia
MIDDLEAGED, MALE, Calpurnius
YOUNG, FEMALE, Boudica
MIDDLEAGED, MALE, Julius
OLD, FEMALE, Agrippina
YOUNG, MALE, Romulus
MIDDLEAGED, FEMALE, Claudia
OLD, MALE, Pythagoras
MIDDLEAGED, FEMALE, Salome
YOUNG, MALE, Plato
MIDDLEAGED, MALE, Euripides
YOUNG, FEMALE, Hera
OLD, MALE, Xenophon
MIDDLEAGED, FEMALE, Hypatia
YOUNG, MALE, Perseus
OLD, FEMALE, Cassandra
MIDDLEAGED, MALE, Leonidas
YOUNG, FEMALE, Artemisia
MIDDLEAGED, MALE, Themistocles
OLD, FEMALE, Nausicaa
YOUNG, MALE, Orpheus
MIDDLEAGED, FEMALE, Tullia
YOUNG, MALE, Demosthenes
MIDDLEAGED, FEMALE, Delia
OLD, MALE, Seneca
MIDDLEAGED, MALE, Atticus
YOUNG, FEMALE, Callisto
OLD, MALE, Ptolemy
MIDDLEAGED, FEMALE, Irene
YOUNG, MALE, Cassius
MIDDLEAGED, FEMALE, Julia
OLD, MALE, Ovid
MIDDLEAGED, MALE, Agrippa
YOUNG, FEMALE, Ophelia
MIDDLEAGED, MALE, Thales
OLD, FEMALE, Medea
YOUNG, MALE, Pericles
MIDDLEAGED, FEMALE, Egeria
OLD, MALE, Pliny
MIDDLEAGED, MALE, Aristophanes
YOUNG, FEMALE, Antigone
MIDDLEAGED, MALE, Nicomedes
OLD, FEMALE, Agrippina
MIDDLEAGED, MALE, Tacitus
YOUNG, FEMALE, Cleopatra
MIDDLEAGED, MALE, Hippocrates
YOUNG, MALE, Brutus
MIDDLEAGED, FEMALE, Diotima
OLD, MALE, Epictetus
MIDDLEAGED, FEMALE, Galeria
YOUNG, MALE, Gaius
MIDDLEAGED, FEMALE, Salome
OLD, MALE, Homer
